Time  1 - default sample rate [s]	Rods pressure [bar]	Shell_0_L [µm/m]	Shell_0_Z [µm/m]	Shell_1_L [µm/m]	Shell_1_Z [µm/m]	Shell_2_L [µm/m]	Shell_2_Z [µm/m]	Shell_3_L [µm/m]	Shell_3_Z [µm/m]	Shell_4_Z [µm/m]	Shell_5_L [µm/m]	Shell_5_Z [µm/m]	Coil_1_Th2_up [µm/m]	Coil_1_Th3_up [µm/m]	Rod_1_TC [µm/m]	Rod_2_TC [µm/m]
0	10.51	-525.66	1035.9	-476.79	1152.5	-268.79	-415.31	-399.55	970.59	1162.0	-175.60	-12.30	43.80	-181.91	20.56	59.88	
0.1000	10.52	-525.66	1035.9	-476.79	1152.5	-268.79	-415.31	-399.55	970.59	1162.0	-175.60	-12.30	43.80	-181.91	20.56	59.88	
0.2000	10.51	-525.46	1035.9	-476.78	1152.5	-268.66	-415.11	-399.47	970.66	1162.1	-175.66	-12.43	43.81	-181.83	20.53	59.90	
0.3000	10.51	-525.48	1035.8	-476.75	1152.5	-268.70	-415.12	-399.41	970.62	1162.0	-175.65	-12.49	43.84	-181.81	20.53	59.91	
0.4000	10.49	-525.49	1035.7	-476.75	1152.5	-268.74	-415.09	-399.35	970.63	1162.0	-175.66	-12.52	43.86	-181.82	20.53	59.89	
0.5000	10.48	-525.55	1035.7	-476.72	1152.6	-268.72	-415.06	-399.33	970.66	1162.0	-175.71	-12.50	43.88	-181.82	20.51	59.86	
0.6000	10.44	-525.62	1035.8	-476.66	1152.6	-268.71	-415.06	-399.35	970.67	1162.0	-175.74	-12.35	43.90	-181.79	20.47	59.83	
0.7000	10.45	-525.52	1035.8	-476.65	1152.6	-268.71	-415.18	-399.38	970.66	1162.1	-175.73	-12.18	43.91	-181.78	20.45	59.81	
0.8000	10.46	-525.45	1035.8	-476.72	1152.6	-268.67	-415.25	-399.38	970.68	1162.1	-175.75	-12.22	43.87	-181.81	20.43	59.80	
0.9000	10.47	-525.48	1035.7	-476.80	1152.6	-268.65	-415.25	-399.36	970.68	1162.1	-175.76	-12.29	43.85	-181.84	20.42	59.79	
1.000	10.46	-525.54	1035.7	-476.85	1152.5	-268.64	-415.21	-399.32	970.68	1162.1	-175.81	-12.32	43.86	-181.83	20.41	59.78	
1.100	10.47	-525.53	1035.8	-476.79	1152.5	-268.70	-415.12	-399.38	970.71	1162.0	-175.81	-12.32	43.87	-181.79	20.40	59.79	
1.200	10.46	-525.50	1035.8	-476.70	1152.5	-268.74	-415.04	-399.42	970.79	1162.0	-175.77	-12.26	43.87	-181.77	20.41	59.81	
1.300	10.43	-525.51	1035.8	-476.70	1152.5	-268.76	-415.01	-399.43	970.79	1162.0	-175.71	-12.21	43.88	-181.76	20.40	59.79	
1.400	10.43	-525.52	1035.8	-476.73	1152.5	-268.74	-415.05	-399.45	970.72	1162.1	-175.73	-12.23	43.84	-181.78	20.37	59.76	
1.500	10.44	-525.53	1035.8	-476.76	1152.5	-268.62	-415.08	-399.39	970.67	1162.0	-175.70	-12.30	43.83	-181.78	20.34	59.73	
1.600	10.45	-525.51	1035.8	-476.78	1152.5	-268.59	-415.05	-399.33	970.63	1162.0	-175.67	-12.35	43.89	-181.74	20.31	59.73	
1.700	10.43	-525.51	1035.9	-476.78	1152.4	-268.62	-415.06	-399.33	970.56	1162.0	-175.68	-12.36	43.91	-181.70	20.30	59.70	
1.800	10.40	-525.52	1035.9	-476.76	1152.4	-268.70	-415.04	-399.34	970.53	1162.0	-175.68	-12.35	43.88	-181.72	20.31	59.67	
1.900	10.38	-525.50	1035.9	-476.75	1152.5	-268.75	-414.99	-399.35	970.60	1162.0	-175.63	-12.35	43.85	-181.74	20.29	59.67	
2.000	10.38	-525.51	1035.9	-476.72	1152.4	-268.70	-415.01	-399.39	970.68	1161.9	-175.63	-12.36	43.84	-181.78	20.27	59.65	
2.100	10.35	-525.51	1035.9	-476.68	1152.4	-268.68	-415.05	-399.42	970.71	1162.0	-175.65	-12.39	43.84	-181.82	20.27	59.64	
2.200	10.34	-525.52	1035.9	-476.71	1152.5	-268.70	-415.12	-399.40	970.76	1162.0	-175.68	-12.44	43.86	-181.87	20.27	59.61	
2.300	10.38	-525.54	1035.8	-476.74	1152.5	-268.75	-415.17	-399.38	970.73	1162.0	-175.69	-12.54	43.90	-181.86	20.27	59.59	
2.400	10.40	-525.53	1035.8	-476.76	1152.5	-268.75	-415.18	-399.40	970.62	1162.0	-175.75	-12.55	43.87	-181.86	20.27	59.58	
2.500	10.39	-525.54	1035.8	-476.78	1152.5	-268.71	-415.18	-399.45	970.57	1162.0	-175.80	-12.48	43.85	-181.85	20.27	59.57	
2.600	10.39	-525.56	1035.8	-476.78	1152.5	-268.70	-415.15	-399.48	970.59	1162.1	-175.78	-12.42	43.88	-181.85	20.24	59.58	
2.700	10.39	-525.54	1035.8	-476.79	1152.4	-268.70	-415.17	-399.49	970.63	1162.1	-175.74	-12.45	43.90	-181.85	20.20	59.58	
2.800	10.39	-525.52	1035.9	-476.83	1152.4	-268.75	-415.17	-399.48	970.66	1162.0	-175.72	-12.44	43.84	-181.79	20.17	59.55	
2.900	10.39	-525.51	1035.9	-476.81	1152.4	-268.74	-415.17	-399.47	970.65	1162.0	-175.73	-12.41	43.80	-181.76	20.15	59.53	
3.000	10.38	-525.48	1035.9	-476.76	1152.5	-268.68	-415.15	-399.46	970.66	1162.0	-175.75	-12.41	43.79	-181.78	20.16	59.54	
3.100	10.39	-525.46	1035.8	-476.75	1152.5	-268.64	-415.05	-399.44	970.67	1162.0	-175.70	-12.41	43.81	-181.82	20.15	59.56	
3.200	10.39	-525.42	1035.7	-476.68	1152.5	-268.68	-414.99	-399.37	970.75	1162.1	-175.63	-12.38	43.82	-181.80	20.11	59.56	
3.300	10.38	-525.41	1035.8	-476.67	1152.5	-268.70	-415.00	-399.33	970.80	1162.1	-175.64	-12.37	43.82	-181.79	20.08	59.52	
3.400	10.39	-525.41	1035.8	-476.64	1152.5	-268.67	-415.00	-399.32	970.79	1162.1	-175.68	-12.41	43.84	-181.83	20.07	59.49	
3.500	10.38	-525.45	1035.8	-476.63	1152.5	-268.65	-414.99	-399.33	970.71	1162.0	-175.72	-12.43	43.89	-181.86	20.08	59.48	
3.600	10.38	-525.51	1035.8	-476.66	1152.5	-268.68	-415.01	-399.38	970.67	1161.9	-175.71	-12.41	43.91	-181.84	20.09	59.47	
3.700	10.38	-525.52	1035.8	-476.70	1152.5	-268.72	-415.07	-399.43	970.65	1162.0	-175.72	-12.40	43.89	-181.83	20.07	59.46	
3.800	10.38	-525.54	1035.8	-476.73	1152.4	-268.79	-415.15	-399.44	970.64	1162.0	-175.71	-12.37	43.86	-181.79	20.04	59.44	
3.900	10.37	-525.55	1035.8	-476.72	1152.4	-268.83	-415.20	-399.36	970.64	1162.0	-175.70	-12.30	43.83	-181.77	20.01	59.43	
4.000	10.37	-525.51	1035.9	-476.70	1152.3	-268.83	-415.16	-399.32	970.69	1162.1	-175.69	-12.28	43.80	-181.77	19.99	59.45	
4.100	10.37	-525.50	1035.9	-476.70	1152.4	-268.84	-415.16	-399.34	970.70	1162.1	-175.70	-12.26	43.81	-181.74	19.98	59.44	
4.200	10.35	-525.48	1035.9	-476.70	1152.4	-268.83	-415.17	-399.42	970.69	1162.1	-175.73	-12.24	43.86	-181.73	19.98	59.41	
4.300	10.36	-525.45	1035.8	-476.70	1152.3	-268.75	-415.18	-399.49	970.66	1162.1	-175.79	-12.26	43.86	-181.78	19.96	59.37	
4.400	10.34	-525.40	1035.8	-476.68	1152.4	-268.74	-415.12	-399.44	970.71	1162.1	-175.81	-12.31	43.83	-181.77	19.92	59.33	
4.500	10.32	-525.42	1035.8	-476.68	1152.4	-268.76	-415.08	-399.40	970.74	1162.1	-175.80	-12.37	43.81	-181.77	19.90	59.33	
4.600	10.33	-525.49	1035.8	-476.69	1152.5	-268.73	-415.16	-399.34	970.71	1162.0	-175.75	-12.40	43.80	-181.81	19.93	59.35	
4.700	10.33	-525.53	1035.9	-476.64	1152.6	-268.66	-415.21	-399.31	970.70	1162.0	-175.67	-12.34	43.80	-181.82	19.93	59.34	
4.800	10.33	-525.50	1035.8	-476.61	1152.5	-268.68	-415.14	-399.37	970.73	1162.0	-175.63	-12.34	43.81	-181.83	19.89	59.31	
4.900	10.34	-525.46	1035.8	-476.63	1152.5	-268.71	-415.08	-399.46	970.76	1162.0	-175.67	-12.33	43.83	-181.84	19.88	59.31	
5.000	10.33	-525.47	1035.9	-476.71	1152.5	-268.71	-415.03	-399.54	970.72	1162.0	-175.74	-12.30	43.85	-181.87	19.90	59.29	
5.100	10.33	-525.49	1035.9	-476.75	1152.5	-268.68	-415.04	-399.54	970.67	1162.0	-175.75	-12.29	43.83	-181.90	19.88	59.26	
5.200	10.33	-525.49	1035.9	-476.71	1152.5	-268.66	-415.08	-399.49	970.64	1162.1	-175.76	-12.32	43.82	-181.89	19.84	59.25	
5.300	10.33	-525.48	1035.8	-476.70	1152.5	-268.59	-415.06	-399.43	970.66	1162.0	-175.77	-12.36	43.83	-181.87	19.82	59.23	
5.400	10.33	-525.45	1035.8	-476.74	1152.6	-268.54	-415.07	-399.35	970.67	1162.0	-175.79	-12.38	43.90	-181.88	19.81	59.23	
5.500	10.33	-525.49	1035.8	-476.79	1152.6	-268.55	-415.17	-399.29	970.60	1162.0	-175.79	-12.35	43.91	-181.92	19.81	59.23	
5.600	10.30	-525.57	1035.7	-476.72	1152.4	-268.61	-415.24	-399.29	970.56	1162.0	-175.74	-12.32	43.83	-181.92	19.81	59.22	
5.700	10.29	-525.59	1035.7	-476.68	1152.4	-268.67	-415.27	-399.34	970.55	1162.0	-175.71	-12.33	43.80	-181.90	19.79	59.22	
5.800	10.30	-525.55	1035.8	-476.65	1152.5	-268.68	-415.24	-399.41	970.61	1162.1	-175.67	-12.35	43.81	-181.89	19.76	59.21	
5.900	10.28	-525.53	1035.9	-476.64	1152.5	-268.69	-415.13	-399.46	970.62	1162.1	-175.61	-12.44	43.78	-181.91	19.74	59.20	
6.000	10.27	-525.51	1035.9	-476.66	1152.5	-268.71	-415.07	-399.49	970.61	1162.1	-175.56	-12.45	43.77	-181.92	19.72	59.19	
6.100	10.28	-525.49	1035.8	-476.66	1152.6	-268.66	-415.08	-399.47	970.60	1162.1	-175.57	-12.38	43.77	-181.91	19.70	59.18	
6.200	10.28	-525.48	1035.9	-476.62	1152.6	-268.55	-415.05	-399.42	970.59	1162.1	-175.64	-12.41	43.74	-181.88	19.66	59.15	
6.300	10.23	-525.46	1035.9	-476.62	1152.6	-268.53	-415.05	-399.35	970.66	1162.1	-175.65	-12.45	43.74	-181.81	19.64	59.14	
6.400	10.15	-525.45	1036.0	-476.63	1152.5	-268.60	-415.08	-399.32	970.72	1162.0	-175.63	-12.39	43.77	-181.75	19.66	59.14	
6.500	10.14	-525.47	1035.9	-476.65	1152.5	-268.60	-415.05	-399.35	970.71	1162.0	-175.61	-12.35	43.79	-181.75	19.67	59.12	
6.600	10.15	-525.51	1035.9	-476.67	1152.5	-268.58	-415.03	-399.36	970.70	1162.0	-175.60	-12.36	43.80	-181.81	19.66	59.10	
