Date,Time,Temperature,Pressure
06/09/2015,123220.625,36,65535
06/09/2015,123221.312,36,12
06/09/2015,123222.312,36,14
06/09/2015,123223.312,36,15
06/09/2015,123224.312,36,14
06/09/2015,123225.312,36,14
06/09/2015,123226.312,36,14
06/09/2015,123227.312,36,14
06/09/2015,123228.312,35,14
06/09/2015,123229.312,35,17
06/09/2015,123230.312,35,14
06/09/2015,123231.312,35,15
06/09/2015,123232.312,35,14
06/09/2015,123233.312,35,15
06/09/2015,123234.312,35,14
06/09/2015,123235.312,35,14
06/09/2015,123236.312,35,15
06/09/2015,123237.312,35,15
06/09/2015,123238.312,35,15
06/09/2015,123239.312,35,14
06/09/2015,123240.312,35,14
06/09/2015,123241.312,35,14
06/09/2015,123242.312,35,14
06/09/2015,123243.312,35,14
06/09/2015,123244.312,35,15
06/09/2015,123245.312,35,14
06/09/2015,123246.312,35,14
06/09/2015,123247.312,35,14
06/09/2015,123248.312,35,15
06/09/2015,123249.312,35,15
06/09/2015,123250.312,35,15
06/09/2015,123251.312,35,16
06/09/2015,123252.312,35,25
06/09/2015,123253.312,35,36
06/09/2015,123254.312,35,38
06/09/2015,123255.875,35,38
06/09/2015,123256.312,35,38
06/09/2015,123257.312,35,38
06/09/2015,123258.312,35,38
06/09/2015,123259.312,35,39
06/09/2015,123300.312,36,38
06/09/2015,123301.312,36,38
06/09/2015,123302.312,36,38
06/09/2015,123303.312,36,38
06/09/2015,123304.312,36,38
06/09/2015,123305.312,36,38
06/09/2015,123306.312,36,38
06/09/2015,123307.312,36,38
06/09/2015,123308.312,35,38
06/09/2015,123309.312,35,38
06/09/2015,123310.312,35,38
06/09/2015,123311.312,35,38
06/09/2015,123312.312,35,38
06/09/2015,123313.312,35,38
06/09/2015,123314.312,35,38
06/09/2015,123315.312,35,38
06/09/2015,123316.312,35,38
06/09/2015,123317.312,35,38
06/09/2015,123318.312,35,38
06/09/2015,123319.312,35,38
06/09/2015,123320.312,35,38
06/09/2015,123321.312,35,38
06/09/2015,123322.312,35,38
06/09/2015,123323.312,35,38
06/09/2015,123324.312,35,38
06/09/2015,123325.312,35,38
06/09/2015,123326.312,35,38
06/09/2015,123327.312,35,38
06/09/2015,123328.312,35,38
06/09/2015,123329.312,35,38
06/09/2015,123330.312,35,38
06/09/2015,123331.312,35,38
06/09/2015,123332.312,36,38
06/09/2015,123333.312,36,38
06/09/2015,123334.312,36,38
06/09/2015,123335.312,36,38
06/09/2015,123336.312,36,39
06/09/2015,123337.312,36,38
06/09/2015,123338.312,36,39
06/09/2015,123339.312,36,38
06/09/2015,123340.312,35,39
06/09/2015,123341.312,35,42
06/09/2015,123342.312,35,41
06/09/2015,123343.312,35,42
06/09/2015,123344.312,35,40
06/09/2015,123345.312,35,40
06/09/2015,123346.312,35,40
06/09/2015,123347.312,35,41
06/09/2015,123348.312,35,42
06/09/2015,123349.312,35,41
06/09/2015,123350.312,35,41
06/09/2015,123351.312,35,42
06/09/2015,123352.312,35,43
06/09/2015,123353.312,35,41
06/09/2015,123354.312,35,42
06/09/2015,123355.312,35,41
06/09/2015,123356.312,36,40
06/09/2015,123357.312,36,42
06/09/2015,123358.312,36,40
06/09/2015,123359.312,36,39
06/09/2015,123400.312,36,38
06/09/2015,123401.312,36,38
06/09/2015,123402.312,36,38
06/09/2015,123403.312,36,38
