Time  1 - default sample rate [s]	Bladder [bar]	Shell_0_L [µm/m]	Shell_0_Z [µm/m]	Shell_1_L [µm/m]	Shell_1_Z [µm/m]	Shell_2_L [µm/m]	Shell_2_Z [µm/m]	Shell_3_L [µm/m]	Shell_3_Z [µm/m]	Shell_4_Z [µm/m]	Shell_5_L [µm/m]	Shell_5_Z [µm/m]	Coil_1_Th2_up [µm/m]	Coil_1_Th3_up [µm/m]	Rod_1_TC [µm/m]	Rod_2_TC [µm/m]
0	93.97	-202.39	505.39	-220.15	637.85	-178.90	-406.43	-229.72	496.45	632.91	-61.74	-28.62	15.95	-22.24	-12.64	31.26	
0.1000	93.97	-202.39	505.39	-220.15	637.85	-178.90	-406.43	-229.72	496.45	632.91	-61.74	-28.62	15.95	-22.24	-12.64	31.26	
0.2000	93.97	-202.52	505.31	-220.15	637.88	-178.92	-406.48	-229.77	496.46	632.99	-61.74	-28.60	15.97	-22.25	-12.60	31.25	
0.3000	93.97	-202.52	505.34	-220.10	637.89	-178.88	-406.47	-229.78	496.52	633.03	-61.75	-28.58	15.92	-22.26	-12.61	31.23	
0.4000	93.97	-202.45	505.40	-220.09	637.93	-178.85	-406.49	-229.72	496.52	633.01	-61.81	-28.60	15.86	-22.29	-12.62	31.23	
0.5000	93.97	-202.41	505.42	-220.13	637.99	-178.85	-406.52	-229.66	496.48	632.96	-61.82	-28.65	15.87	-22.29	-12.63	31.24	
0.6000	93.97	-202.39	505.38	-220.16	638.05	-178.86	-406.53	-229.61	496.51	632.96	-61.78	-28.65	15.93	-22.24	-12.62	31.23	
0.7000	93.97	-202.40	505.34	-220.15	638.06	-178.86	-406.52	-229.64	496.52	633.03	-61.77	-28.64	15.99	-22.21	-12.61	31.20	
0.8000	93.97	-202.44	505.30	-220.09	638.01	-178.87	-406.49	-229.69	496.50	633.05	-61.75	-28.65	16.00	-22.23	-12.58	31.18	
0.9000	93.97	-202.43	505.25	-220.13	637.97	-178.94	-406.49	-229.75	496.44	632.98	-61.71	-28.65	15.97	-22.25	-12.56	31.21	
1.000	93.97	-202.37	505.27	-220.11	637.95	-178.95	-406.45	-229.73	496.46	632.93	-61.71	-28.67	15.92	-22.25	-12.56	31.26	
1.100	93.97	-202.39	505.36	-220.07	637.94	-178.90	-406.41	-229.71	496.48	632.94	-61.75	-28.68	15.87	-22.25	-12.59	31.27	
1.200	93.96	-202.44	505.43	-220.03	637.93	-178.87	-406.40	-229.74	496.50	633.00	-61.76	-28.63	15.85	-22.26	-12.62	31.29	
1.300	93.96	-202.49	505.36	-220.05	637.96	-178.87	-406.44	-229.77	496.46	632.99	-61.77	-28.65	15.87	-22.29	-12.63	31.27	
1.400	93.96	-202.53	505.33	-220.07	637.98	-178.90	-406.48	-229.71	496.40	632.99	-61.77	-28.71	15.90	-22.27	-12.64	31.26	
1.500	93.97	-202.51	505.32	-220.12	638.01	-178.90	-406.50	-229.70	496.37	633.03	-61.78	-28.68	15.94	-22.26	-12.64	31.27	
1.600	93.96	-202.47	505.30	-220.12	638.01	-178.86	-406.52	-229.73	496.40	633.03	-61.79	-28.64	15.97	-22.22	-12.64	31.27	
